epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.38858,3.38156,4.44667,3.26911,0.00433,0.59459,0.01924,0.00894,1.73764,3.92441,2.1801,0.00013,0.00013,0.08713
2,4.7853,0.97699,1.97228,1.09216,0.00659,0.98649,0.31137,0.16949,1.44933,2.97931,1.54064,0.000269954,0.000269954,0.07327
3,6.17476,0.77931,1.20608,0.99215,0.66032,0.10844,0.45447,0.2908,1.12996,2.49247,1.35217,0.000409722,0.000409722,0.0594097
4,7.53092,0.69357,0.90635,0.9506,0.60777,0.53786,0.59532,0.41531,0.78973,1.71157,1.28472,0.000549161,0.000549161,0.0455492
5,8.88028,0.69545,0.69189,0.973,0.75025,0.94574,0.96083,0.74481,0.80772,0.80901,1.23413,0.000688129,0.000688129,0.0316881
6,10.2171,0.69265,0.58091,0.94442,0.94047,0.9817,0.98422,0.7368,0.81993,0.69587,1.23895,0.000826485,0.000826485,0.0178265
7,11.5142,0.63508,0.52497,0.93868,0.9868,0.9706,0.99294,0.71429,0.86249,0.68061,1.28811,0.000964089,0.000964089,0.00396409
8,12.823,0.58519,0.51066,0.92811,0.94504,1,0.98087,0.67455,0.99118,0.6047,1.32782,0.000991711,0.000991711,0.000991711
9,14.138,0.56115,0.4856,0.936,0.93156,0.9813,0.95526,0.69733,0.86892,0.6144,1.33842,0.000989183,0.000989183,0.000989183
10,15.4524,0.53836,0.45259,0.93768,0.86467,0.92063,0.91116,0.68951,0.7448,0.63259,1.26749,0.000986323,0.000986323,0.000986323
11,16.7575,0.56545,0.48313,0.91879,0.81289,0.87838,0.97895,0.704,0.82705,0.83172,1.31088,0.000983133,0.000983133,0.000983133
12,18.076,0.53621,0.44187,0.89407,0.94003,0.9586,0.99028,0.74097,0.83442,0.47772,1.34842,0.000979616,0.000979616,0.000979616
13,19.3842,0.52213,0.41939,0.91531,0.96198,0.98488,0.99104,0.77597,0.68017,0.39819,1.24682,0.000975773,0.000975773,0.000975773
14,20.72,0.49524,0.39779,0.90925,0.96333,0.97321,0.9913,0.7605,0.66867,0.48503,1.25877,0.000971608,0.000971608,0.000971608
15,22.0369,0.48719,0.38764,0.89532,0.96729,0.96018,0.9707,0.72762,0.77722,0.50268,1.25968,0.000967122,0.000967122,0.000967122
16,23.3554,0.48615,0.386,0.90305,0.97112,0.97297,0.97109,0.76196,0.65818,0.43254,1.19853,0.00096232,0.00096232,0.00096232
17,24.6788,0.45902,0.37425,0.91056,0.96254,0.98138,0.98421,0.76695,0.70795,0.40796,1.27637,0.000957205,0.000957205,0.000957205
18,26.0004,0.46249,0.3715,0.89745,0.95956,1,0.99267,0.78286,0.66118,0.38637,1.28329,0.00095178,0.00095178,0.00095178
19,27.3129,0.44945,0.35049,0.8937,0.96885,0.99818,0.97577,0.77846,0.56944,0.37667,1.22147,0.000946048,0.000946048,0.000946048
20,28.6298,0.45007,0.37217,0.88892,0.97319,0.99895,0.9709,0.70304,0.76292,0.45913,1.30309,0.000940014,0.000940014,0.000940014
21,29.9425,0.43889,0.35269,0.87574,0.97007,1,0.97669,0.75473,0.6414,0.42067,1.23465,0.000933683,0.000933683,0.000933683
22,31.2499,0.44123,0.34038,0.89485,0.97919,0.98493,0.99449,0.76348,0.64944,0.34994,1.26992,0.000927057,0.000927057,0.000927057
23,32.5548,0.43835,0.35034,0.88782,0.98367,0.98366,0.99408,0.7936,0.63607,0.34832,1.23082,0.000920142,0.000920142,0.000920142
24,33.8915,0.43196,0.34037,0.88331,0.96911,0.98649,0.97599,0.75378,0.67436,0.38911,1.25023,0.000912942,0.000912942,0.000912942
25,35.1973,0.414,0.31251,0.87794,0.95418,0.99847,0.97317,0.77924,0.60676,0.37201,1.22297,0.000905463,0.000905463,0.000905463
26,36.505,0.3914,0.31022,0.87296,0.97144,0.99931,0.98808,0.79996,0.56736,0.32908,1.24415,0.00089771,0.00089771,0.00089771
27,37.8265,0.39623,0.30125,0.86218,0.96944,0.99886,0.99372,0.80928,0.58747,0.32813,1.23182,0.000889687,0.000889687,0.000889687
28,39.1824,0.3777,0.29004,0.87529,0.9674,0.99902,0.99368,0.81606,0.56068,0.29986,1.24024,0.000881401,0.000881401,0.000881401
29,40.489,0.37899,0.3017,0.87148,0.96208,0.99884,0.9933,0.80092,0.62433,0.33642,1.2415,0.000872857,0.000872857,0.000872857
30,41.7985,0.36014,0.278,0.87774,0.97335,0.98649,0.99449,0.78028,0.58948,0.34001,1.24487,0.00086406,0.00086406,0.00086406
31,43.0972,0.37011,0.28358,0.86938,0.97952,0.98649,0.99449,0.7907,0.59261,0.33472,1.23941,0.000855018,0.000855018,0.000855018
32,44.4319,0.36562,0.29934,0.86246,0.96892,0.99927,0.98394,0.7858,0.54115,0.30375,1.23121,0.000845736,0.000845736,0.000845736
33,45.7344,0.36948,0.30409,0.86976,0.98225,0.98649,0.98746,0.77598,0.60485,0.29984,1.25045,0.00083622,0.00083622,0.00083622
34,47.048,0.35412,0.27549,0.86075,0.98295,0.98649,0.99368,0.81091,0.54262,0.26917,1.22978,0.000826477,0.000826477,0.000826477
35,48.3564,0.36595,0.28462,0.85839,0.99119,0.98649,0.99449,0.82762,0.526,0.26795,1.21919,0.000816514,0.000816514,0.000816514
36,49.6834,0.36173,0.27373,0.87303,0.985,0.98649,0.99449,0.80645,0.62445,0.31676,1.22986,0.000806337,0.000806337,0.000806337
37,50.9997,0.35671,0.26398,0.87493,0.98298,0.98649,0.99368,0.82415,0.53899,0.28685,1.212,0.000795954,0.000795954,0.000795954
38,52.3112,0.36934,0.26292,0.87114,0.96649,0.99895,0.9933,0.80798,0.59298,0.31646,1.23564,0.000785371,0.000785371,0.000785371
39,53.6193,0.37612,0.27426,0.87875,0.97036,0.9988,0.993,0.81067,0.59084,0.31105,1.22809,0.000774596,0.000774596,0.000774596
