epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.4799,1.80842,0.46855,0.96532,1.42578,0.0005,0.0005,0.0005
2,181.75,0.74813,0.79758,0.99839,0.48896,0.00049723,0.00049723,0.00049723
3,270.239,0.49058,0.91129,0.99919,0.21313,0.000488988,0.000488988,0.000488988
4,361.892,0.31952,0.93952,1,0.14955,0.000475476,0.000475476,0.000475476
5,450.32,0.22204,0.975,0.99919,0.07439,0.000457029,0.000457029,0.000457029
6,538.811,0.1717,0.98306,1,0.06754,0.000434099,0.000434099,0.000434099
7,626.854,0.12863,0.99194,0.99919,0.02806,0.000407252,0.000407252,0.000407252
8,715.376,0.11173,0.9871,1,0.03337,0.000377148,0.000377148,0.000377148
9,804.26,0.0942,0.99758,0.99919,0.01153,0.000344529,0.000344529,0.000344529
10,892.524,0.06551,0.99355,0.99919,0.01557,0.000310198,0.000310198,0.000310198
11,1004.41,0.05894,0.99516,0.99919,0.01743,0.000275,0.000275,0.000275
12,1094.39,0.04947,0.99597,0.99919,0.01047,0.000239802,0.000239802,0.000239802
13,1187.24,0.04576,0.99758,0.99919,0.01111,0.000205471,0.000205471,0.000205471
14,1278.12,0.03532,0.99839,0.99919,0.00743,0.000172852,0.000172852,0.000172852
15,1368.9,0.03228,0.99839,1,0.00759,0.000142748,0.000142748,0.000142748
16,1459.86,0.0306,0.99919,0.99919,0.00557,0.000115901,0.000115901,0.000115901
17,1551.84,0.02154,0.99919,0.99919,0.00526,9.29712e-05,9.29712e-05,9.29712e-05
18,1644.68,0.03094,0.99919,0.99919,0.00483,7.45235e-05,7.45235e-05,7.45235e-05
19,1736.2,0.01978,0.99919,0.99919,0.00513,6.10123e-05,6.10123e-05,6.10123e-05
20,1829.81,0.02403,0.99919,0.99919,0.00537,5.27701e-05,5.27701e-05,5.27701e-05
