epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,94.9619,1.81156,0.59758,0.96532,1.1078,0.0005,0.0005,0.0005
2,164.428,0.88687,0.73871,0.99677,0.65652,0.00049723,0.00049723,0.00049723
3,233.768,0.5762,0.86371,0.99677,0.36764,0.000488988,0.000488988,0.000488988
4,303.435,0.33594,0.91532,0.99839,0.24804,0.000475476,0.000475476,0.000475476
5,375.437,0.19831,0.93306,0.99839,0.16598,0.000457029,0.000457029,0.000457029
6,446.55,0.12879,0.94274,0.99919,0.20595,0.000434099,0.000434099,0.000434099
7,516.357,0.09707,0.96452,0.99839,0.08725,0.000407252,0.000407252,0.000407252
8,586.245,0.07082,0.99274,0.99919,0.02554,0.000377148,0.000377148,0.000377148
9,656.285,0.03943,0.99194,0.99919,0.02764,0.000344529,0.000344529,0.000344529
10,726.432,0.02844,0.99194,0.99919,0.02236,0.000310198,0.000310198,0.000310198
11,819.512,0.02581,0.99516,0.99919,0.01992,0.000275,0.000275,0.000275
12,888.807,0.01921,0.99677,1,0.01101,0.000239802,0.000239802,0.000239802
13,958.232,0.01686,0.99597,1,0.01083,0.000205471,0.000205471,0.000205471
14,1028,0.01003,0.99355,1,0.01823,0.000172852,0.000172852,0.000172852
15,1097.27,0.00988,0.99758,1,0.00585,0.000142748,0.000142748,0.000142748
16,1166.91,0.01188,0.99758,1,0.00698,0.000115901,0.000115901,0.000115901
17,1236.52,0.00703,0.99758,1,0.00813,9.29712e-05,9.29712e-05,9.29712e-05
18,1306.82,0.00497,0.99677,1,0.01159,7.45235e-05,7.45235e-05,7.45235e-05
19,1378.44,0.00466,0.99758,1,0.00933,6.10123e-05,6.10123e-05,6.10123e-05
20,1448.15,0.00303,0.99758,1,0.00901,5.27701e-05,5.27701e-05,5.27701e-05
