epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.373,2.46648,0.34572,0.86834,1.82744,0.0005,0.0005,0.0005
2,184.146,1.15171,0.72375,0.98708,0.78091,0.00049723,0.00049723,0.00049723
3,264.265,0.42019,0.92488,0.99354,0.24394,0.000488988,0.000488988,0.000488988
4,344.223,0.21331,0.97011,0.99596,0.10805,0.000475476,0.000475476,0.000475476
5,424.216,0.15624,0.98061,0.99838,0.07093,0.000457029,0.000457029,0.000457029
6,504.939,0.11718,0.98627,0.99758,0.05223,0.000434099,0.000434099,0.000434099
7,585.717,0.08391,0.98546,0.99758,0.06706,0.000407252,0.000407252,0.000407252
8,666.035,0.06961,0.98304,0.99838,0.04294,0.000377148,0.000377148,0.000377148
9,746.159,0.06245,0.9895,0.99838,0.0383,0.000344529,0.000344529,0.000344529
10,826.372,0.04858,0.99192,0.99758,0.02115,0.000310198,0.000310198,0.000310198
11,929.472,0.0421,0.99031,0.99758,0.02597,0.000275,0.000275,0.000275
12,1010.04,0.03617,0.99273,0.99758,0.02654,0.000239802,0.000239802,0.000239802
13,1090.47,0.03222,0.99354,0.99758,0.02358,0.000205471,0.000205471,0.000205471
14,1170.75,0.02084,0.99273,0.99758,0.02573,0.000172852,0.000172852,0.000172852
15,1251.2,0.02027,0.99354,0.99758,0.02502,0.000142748,0.000142748,0.000142748
16,1331.76,0.01553,0.99111,0.99758,0.03104,0.000115901,0.000115901,0.000115901
17,1412.41,0.01388,0.99354,0.99758,0.0237,9.29712e-05,9.29712e-05,9.29712e-05
18,1492.84,0.0127,0.99354,0.99758,0.02533,7.45235e-05,7.45235e-05,7.45235e-05
19,1573.25,0.01099,0.99354,0.99758,0.02335,6.10123e-05,6.10123e-05,6.10123e-05
20,1653.89,0.0113,0.99354,0.99758,0.02338,5.27701e-05,5.27701e-05,5.27701e-05
