epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,285.213,1.35526,0.86852,0.99001,0.37053,0.0005,0.0005,0.0005
2,565.228,0.44889,0.9676,0.99325,0.09274,0.00049723,0.00049723,0.00049723
3,845.509,0.26785,0.97543,0.99379,0.06332,0.000488988,0.000488988,0.000488988
4,1124.29,0.20534,0.97921,0.99433,0.05475,0.000475476,0.000475476,0.000475476
5,1406.83,0.18774,0.97948,0.99271,0.05303,0.000457029,0.000457029,0.000457029
6,1688.86,0.17475,0.97948,0.99352,0.06208,0.000434099,0.000434099,0.000434099
7,1968.86,0.15589,0.98434,0.99379,0.0423,0.000407252,0.000407252,0.000407252
8,2250.07,0.14458,0.98137,0.99379,0.05496,0.000377148,0.000377148,0.000377148
9,2525.85,0.14256,0.98785,0.99514,0.03811,0.000344529,0.000344529,0.000344529
10,2803.06,0.13198,0.98191,0.99487,0.0427,0.000310198,0.000310198,0.000310198
11,3122.27,0.12395,0.98326,0.99568,0.04649,0.000275,0.000275,0.000275
12,3401.94,0.11763,0.98245,0.99649,0.04033,0.000239802,0.000239802,0.000239802
13,3680.37,0.11148,0.98272,0.99649,0.0436,0.000205471,0.000205471,0.000205471
14,3959.22,0.10244,0.98731,0.99568,0.03469,0.000172852,0.000172852,0.000172852
15,4239.92,0.10043,0.98677,0.99703,0.03505,0.000142748,0.000142748,0.000142748
16,4517.07,0.09188,0.9865,0.99568,0.03473,0.000115901,0.000115901,0.000115901
17,4793.82,0.09198,0.98434,0.99676,0.03541,9.29712e-05,9.29712e-05,9.29712e-05
18,5074.02,0.08762,0.98758,0.9973,0.03314,7.45235e-05,7.45235e-05,7.45235e-05
19,5351.29,0.08489,0.98515,0.9973,0.03256,6.10123e-05,6.10123e-05,6.10123e-05
20,5629.35,0.08307,0.98623,0.9973,0.0306,5.27701e-05,5.27701e-05,5.27701e-05
