epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,276.553,2.15716,0.72499,0.97593,0.79303,0.0005,0.0005,0.0005
2,552.435,0.71769,0.92347,0.98594,0.26582,0.00049723,0.00049723,0.00049723
3,826.524,0.48495,0.95403,0.98972,0.14911,0.000488988,0.000488988,0.000488988
4,1107.67,0.41951,0.96025,0.9881,0.13261,0.000475476,0.000475476,0.000475476
5,1385.78,0.37681,0.97431,0.99054,0.08794,0.000457029,0.000457029,0.000457029
6,1663.8,0.34307,0.97729,0.99162,0.07658,0.000434099,0.000434099,0.000434099
7,1942.78,0.32672,0.98053,0.99378,0.06569,0.000407252,0.000407252,0.000407252
8,2229.49,0.32135,0.98026,0.99324,0.06459,0.000377148,0.000377148,0.000377148
9,2505.06,0.30445,0.98323,0.99432,0.05649,0.000344529,0.000344529,0.000344529
10,2781.53,0.29044,0.98296,0.9927,0.05169,0.000310198,0.000310198,0.000310198
11,3105.84,0.27395,0.98296,0.99432,0.05344,0.000275,0.000275,0.000275
12,3380,0.26924,0.98215,0.99189,0.05474,0.000239802,0.000239802,0.000239802
13,3660.52,0.25364,0.98567,0.99486,0.04394,0.000205471,0.000205471,0.000205471
14,3934.48,0.25253,0.98486,0.99351,0.04368,0.000172852,0.000172852,0.000172852
15,4207.12,0.24556,0.98675,0.99459,0.04087,0.000142748,0.000142748,0.000142748
16,4481.42,0.23875,0.98702,0.99432,0.0401,0.000115901,0.000115901,0.000115901
17,4761.92,0.23749,0.98918,0.99459,0.03797,9.29712e-05,9.29712e-05,9.29712e-05
18,5037.61,0.22725,0.98837,0.99432,0.03949,7.45235e-05,7.45235e-05,7.45235e-05
19,5308.54,0.2326,0.98756,0.99432,0.03789,6.10123e-05,6.10123e-05,6.10123e-05
20,5583.9,0.22537,0.98891,0.99432,0.03814,5.27701e-05,5.27701e-05,5.27701e-05
