epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.2286,1.43824,0.69435,0.9629,0.83549,0.0005,0.0005,0.0005
2,181.45,0.53919,0.86129,0.99839,0.34081,0.00049723,0.00049723,0.00049723
3,271.594,0.26748,0.92339,0.99839,0.18678,0.000488988,0.000488988,0.000488988
4,361.003,0.15297,0.94274,1,0.14207,0.000475476,0.000475476,0.000475476
5,451.058,0.1146,0.95968,1,0.11402,0.000457029,0.000457029,0.000457029
6,541.367,0.0858,0.98952,0.99919,0.03328,0.000434099,0.000434099,0.000434099
7,631.777,0.0471,0.99274,0.99919,0.02458,0.000407252,0.000407252,0.000407252
8,722.367,0.03698,0.99355,0.99919,0.02204,0.000377148,0.000377148,0.000377148
9,812.592,0.02098,0.99677,0.99919,0.00985,0.000344529,0.000344529,0.000344529
10,903.044,0.0224,0.99677,1,0.00931,0.000310198,0.000310198,0.000310198
11,1014.9,0.01686,0.99839,0.99919,0.00909,0.000275,0.000275,0.000275
12,1106.76,0.01454,0.99677,0.99919,0.01383,0.000239802,0.000239802,0.000239802
13,1198.47,0.01051,0.99839,0.99919,0.00999,0.000205471,0.000205471,0.000205471
14,1290.64,0.01022,0.99758,0.99919,0.00915,0.000172852,0.000172852,0.000172852
15,1382.53,0.00557,0.99839,0.99919,0.0096,0.000142748,0.000142748,0.000142748
16,1474.15,0.00686,0.99839,0.99919,0.00858,0.000115901,0.000115901,0.000115901
17,1565.96,0.00351,0.99839,0.99919,0.00838,9.29712e-05,9.29712e-05,9.29712e-05
18,1657.72,0.00319,0.99839,0.99919,0.00855,7.45235e-05,7.45235e-05,7.45235e-05
19,1754.2,0.00264,0.99839,0.99919,0.00924,6.10123e-05,6.10123e-05,6.10123e-05
