epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,89.9563,2.33721,0.36201,0.89773,1.76251,0.0005,0.0005,0.0005
2,185.604,1.02624,0.82143,0.99432,0.48648,0.00049723,0.00049723,0.00049723
3,280.002,0.31621,0.94318,0.99432,0.18163,0.000488988,0.000488988,0.000488988
4,372.943,0.15105,0.95536,0.99919,0.13864,0.000475476,0.000475476,0.000475476
5,463.38,0.1047,0.98133,0.99838,0.06479,0.000457029,0.000457029,0.000457029
6,552.459,0.08331,0.98539,0.99838,0.05202,0.000434099,0.000434099,0.000434099
7,641.113,0.06562,0.98539,0.99756,0.04131,0.000407252,0.000407252,0.000407252
8,728.864,0.04797,0.99107,0.99919,0.0295,0.000377148,0.000377148,0.000377148
9,816.237,0.04342,0.99188,0.99919,0.02628,0.000344529,0.000344529,0.000344529
10,903.871,0.03889,0.99026,0.99838,0.03681,0.000310198,0.000310198,0.000310198
11,1013.16,0.03008,0.99269,0.99838,0.02629,0.000275,0.000275,0.000275
12,1099.64,0.02673,0.99188,0.99838,0.02744,0.000239802,0.000239802,0.000239802
13,1185.93,0.02308,0.99188,0.99838,0.02612,0.000205471,0.000205471,0.000205471
14,1271.85,0.01848,0.99269,0.99838,0.02705,0.000172852,0.000172852,0.000172852
15,1357.92,0.01717,0.99432,0.99838,0.02521,0.000142748,0.000142748,0.000142748
16,1444,0.01514,0.99351,0.99919,0.03016,0.000115901,0.000115901,0.000115901
17,1530.6,0.0128,0.99351,0.99838,0.03231,9.29712e-05,9.29712e-05,9.29712e-05
18,1618.59,0.01066,0.99351,0.99838,0.02788,7.45235e-05,7.45235e-05,7.45235e-05
19,1706.45,0.00978,0.99351,0.99919,0.02984,6.10123e-05,6.10123e-05,6.10123e-05
20,1794.4,0.01098,0.99351,0.99919,0.0288,5.27701e-05,5.27701e-05,5.27701e-05
