epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,97.665,2.23479,0.46769,0.89338,1.61778,0.0005,0.0005,0.0005
2,187.698,0.83156,0.84491,0.99677,0.43798,0.00049723,0.00049723,0.00049723
3,292.23,0.26923,0.9483,0.99838,0.16206,0.000488988,0.000488988,0.000488988
4,396.539,0.16677,0.95557,0.99758,0.13722,0.000475476,0.000475476,0.000475476
5,501.464,0.13164,0.97415,0.99758,0.07671,0.000457029,0.000457029,0.000457029
6,605.016,0.09303,0.98627,0.99919,0.0426,0.000434099,0.000434099,0.000434099
7,707.952,0.06996,0.98708,0.99758,0.04743,0.000407252,0.000407252,0.000407252
8,802.899,0.06524,0.98708,0.99838,0.03727,0.000377148,0.000377148,0.000377148
9,892.475,0.05376,0.99273,0.99838,0.0289,0.000344529,0.000344529,0.000344529
10,981.857,0.0406,0.99273,0.99838,0.02529,0.000310198,0.000310198,0.000310198
11,1091.64,0.03763,0.99111,0.99838,0.02834,0.000275,0.000275,0.000275
12,1179.71,0.03374,0.99354,0.99838,0.02447,0.000239802,0.000239802,0.000239802
13,1267.97,0.03105,0.99192,0.99838,0.02002,0.000205471,0.000205471,0.000205471
14,1356.43,0.02062,0.99435,0.99758,0.02036,0.000172852,0.000172852,0.000172852
15,1445.44,0.02039,0.99354,0.99838,0.028,0.000142748,0.000142748,0.000142748
16,1533.91,0.01655,0.99435,0.99758,0.02977,0.000115901,0.000115901,0.000115901
17,1622.33,0.01367,0.99354,0.99758,0.03872,9.29712e-05,9.29712e-05,9.29712e-05
18,1710.66,0.01089,0.99354,0.99758,0.03015,7.45235e-05,7.45235e-05,7.45235e-05
19,1799.04,0.00891,0.99435,0.99758,0.03262,6.10123e-05,6.10123e-05,6.10123e-05
20,1887.27,0.00827,0.99515,0.99758,0.0288,5.27701e-05,5.27701e-05,5.27701e-05
